"data","valor","serie","tag","grupo"
1981-05-01,9656,1406,"consumo_energia_eletrica","atividade"
1981-06-01,9360,1406,"consumo_energia_eletrica","atividade"
1981-07-01,9470,1406,"consumo_energia_eletrica","atividade"
1981-08-01,9752,1406,"consumo_energia_eletrica","atividade"
1981-09-01,9486,1406,"consumo_energia_eletrica","atividade"
1981-10-01,9589,1406,"consumo_energia_eletrica","atividade"
1981-11-01,9781,1406,"consumo_energia_eletrica","atividade"
1981-12-01,9529,1406,"consumo_energia_eletrica","atividade"
1982-01-01,9885,1406,"consumo_energia_eletrica","atividade"
1982-02-01,9393,1406,"consumo_energia_eletrica","atividade"
1982-03-01,9712,1406,"consumo_energia_eletrica","atividade"
1982-04-01,10447,1406,"consumo_energia_eletrica","atividade"
1982-05-01,9999,1406,"consumo_energia_eletrica","atividade"
1982-06-01,10193,1406,"consumo_energia_eletrica","atividade"
1982-07-01,10325,1406,"consumo_energia_eletrica","atividade"
1982-08-01,10541,1406,"consumo_energia_eletrica","atividade"
1982-09-01,10698,1406,"consumo_energia_eletrica","atividade"
1982-10-01,10515,1406,"consumo_energia_eletrica","atividade"
1982-11-01,10644,1406,"consumo_energia_eletrica","atividade"
1982-12-01,10453,1406,"consumo_energia_eletrica","atividade"
1983-01-01,10630,1406,"consumo_energia_eletrica","atividade"
1983-02-01,10253,1406,"consumo_energia_eletrica","atividade"
1983-03-01,10360,1406,"consumo_energia_eletrica","atividade"
1983-04-01,11266,1406,"consumo_energia_eletrica","atividade"
1983-05-01,10788,1406,"consumo_energia_eletrica","atividade"
1983-06-01,11411,1406,"consumo_energia_eletrica","atividade"
1983-07-01,10945,1406,"consumo_energia_eletrica","atividade"
1983-08-01,11077,1406,"consumo_energia_eletrica","atividade"
1983-09-01,11608,1406,"consumo_energia_eletrica","atividade"
1983-10-01,11402,1406,"consumo_energia_eletrica","atividade"
1983-11-01,11366,1406,"consumo_energia_eletrica","atividade"
1983-12-01,11332,1406,"consumo_energia_eletrica","atividade"
1984-01-01,11642,1406,"consumo_energia_eletrica","atividade"
1984-02-01,11968,1406,"consumo_energia_eletrica","atividade"
1984-03-01,12207,1406,"consumo_energia_eletrica","atividade"
1984-04-01,11626,1406,"consumo_energia_eletrica","atividade"
1984-05-01,12031,1406,"consumo_energia_eletrica","atividade"
1984-06-01,12277,1406,"consumo_energia_eletrica","atividade"
1984-07-01,12210,1406,"consumo_energia_eletrica","atividade"
1984-08-01,12698,1406,"consumo_energia_eletrica","atividade"
1984-09-01,12953,1406,"consumo_energia_eletrica","atividade"
1984-10-01,12520,1406,"consumo_energia_eletrica","atividade"
1984-11-01,13420,1406,"consumo_energia_eletrica","atividade"
1984-12-01,12845,1406,"consumo_energia_eletrica","atividade"
1985-01-01,13204,1406,"consumo_energia_eletrica","atividade"
1985-02-01,13114,1406,"consumo_energia_eletrica","atividade"
1985-03-01,13079,1406,"consumo_energia_eletrica","atividade"
1985-04-01,13651,1406,"consumo_energia_eletrica","atividade"
1985-05-01,13224,1406,"consumo_energia_eletrica","atividade"
1985-06-01,13528,1406,"consumo_energia_eletrica","atividade"
1985-07-01,12965,1406,"consumo_energia_eletrica","atividade"
1985-08-01,13969,1406,"consumo_energia_eletrica","atividade"
1985-09-01,13918,1406,"consumo_energia_eletrica","atividade"
1985-10-01,14002,1406,"consumo_energia_eletrica","atividade"
1985-11-01,14320,1406,"consumo_energia_eletrica","atividade"
1985-12-01,14041,1406,"consumo_energia_eletrica","atividade"
1986-01-01,14120,1406,"consumo_energia_eletrica","atividade"
1986-02-01,13709,1406,"consumo_energia_eletrica","atividade"
1986-03-01,13152,1406,"consumo_energia_eletrica","atividade"
1986-04-01,13894,1406,"consumo_energia_eletrica","atividade"
1986-05-01,14756,1406,"consumo_energia_eletrica","atividade"
1986-06-01,14514,1406,"consumo_energia_eletrica","atividade"
1986-07-01,14502,1406,"consumo_energia_eletrica","atividade"
1986-08-01,15227,1406,"consumo_energia_eletrica","atividade"
1986-09-01,15028,1406,"consumo_energia_eletrica","atividade"
1986-10-01,15124,1406,"consumo_energia_eletrica","atividade"
1986-11-01,15559,1406,"consumo_energia_eletrica","atividade"
1986-12-01,14685,1406,"consumo_energia_eletrica","atividade"
1987-01-01,15698,1406,"consumo_energia_eletrica","atividade"
1987-02-01,14422,1406,"consumo_energia_eletrica","atividade"
1987-03-01,14885,1406,"consumo_energia_eletrica","atividade"
1987-04-01,14412,1406,"consumo_energia_eletrica","atividade"
1987-05-01,14940,1406,"consumo_energia_eletrica","atividade"
1987-06-01,14357,1406,"consumo_energia_eletrica","atividade"
1987-07-01,14618,1406,"consumo_energia_eletrica","atividade"
1987-08-01,15267,1406,"consumo_energia_eletrica","atividade"
1987-09-01,15093,1406,"consumo_energia_eletrica","atividade"
1987-10-01,15220,1406,"consumo_energia_eletrica","atividade"
1987-11-01,15568,1406,"consumo_energia_eletrica","atividade"
1987-12-01,15092,1406,"consumo_energia_eletrica","atividade"
1988-01-01,15798,1406,"consumo_energia_eletrica","atividade"
1988-02-01,15379,1406,"consumo_energia_eletrica","atividade"
1988-03-01,15466,1406,"consumo_energia_eletrica","atividade"
